Type,Message,,,
normal text,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",,,
normal text,Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one ï¿½ï¿½ï¿½ï¿½ï¿½ï,,,
normal text,Good morning pookie pie! Lol hope I didn't wake u up,,,
normal text,MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.,,,
normal text,Happy birthday to you....dear.with lots of love.rakhesh NRI,,,
normal text,Howz that persons story,,,
it may be a spam message,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",,,
normal text,X2  &lt;#&gt; . Are you going to get that,,,
normal text,Hi neva worry bout da truth coz the truth will lead me 2 ur heart. Itï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s the least a ,,,
it may be a spam message,UR awarded a City Break and could WIN a ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½200 Summer Shopping spree every WK. Txt STORE to 88039,,,
normal text,Is ur paper today in e morn or aft?,,,
normal text,I will lick up every drop :) are you ready to use your mouth as well?,,,
normal text,And you! Will expect you whenever you text! Hope all goes well tomo ,,,
normal text,Great. P diddy is my neighbor and comes for toothpaste every morning,,,
normal text,"I av a new number,  . Wil u only use this one,ta.",,,
normal text,So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.,,,
normal text,7 lor... Change 2 suntec... Wat time u coming?,,,
normal text,No de.am seeing in online shop so that i asked.,,,
normal text,Just curious because my cuz asked what I was up to,,,
normal text,Nice.nice.how is it working?,,,
normal text,Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?,,,
normal text,Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again,,,
normal text,She's good. How are you. Where r u working now,,,
normal text,"Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home",,,
normal text,At home also.,,,
normal text,This phone has the weirdest auto correct.,,,
normal text,Oops my phone died and I didn't even know. Yeah I like it better.,,,
normal text,Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?,,,
normal text,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",,,
normal text,"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx",,,
normal text,We got a divorce. Lol. She.s here,,,
normal text,What's ur pin?,,,
normal text,"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?",,,
normal text,I want snow. It's just freezing and windy.,,,
it may be a spam message,URGENT! We are trying to contact U. Todays draw shows that you have won a ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½2000 prize GUARANTEED. Call 090,,,
normal text,Come to mahal bus stop.. &lt;DECIMAL&gt;,,,
normal text,Don know:)this week i'm going to tirunelvai da.,,,
normal text,Me too baby! I promise to treat you well! I bet you will take good care of me...,,,
normal text,Its like that hotel dusk game i think. You solve puzzles in a area thing,,,
it may be a spam message,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",,,
normal text,"Hi, my love! How goes that day? Fuck, this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !",,,
normal text,Well that must be a pain to catch,,,
normal text,Sorry da thangam.it's my mistake.,,,
normal text,I need... Coz i never go before ,,,
normal text,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",,,
normal text,Wife.how she knew the time of murder exactly,,,
it may be a spam message,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",,,
it may be a spam message,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,,,
normal text,"I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?",,,
normal text,No plm i will come da. On the way.,,,
normal text,Guess he wants alone time. We could just show up and watch when they do..,,,
normal text,Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-),,,
normal text,Yup ï¿½ï¿½ï¿½ï¿½ï¿½ï,,,
normal text,"Yes, princess. Toledo.",,,
normal text,"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me",,,
normal text,Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor.,,,
normal text,Good. No swimsuit allowed :),,,
normal text,Am okay. Will soon be over. All the best,,,
normal text,A cute thought for friendship: \Its not necessary to share every secret with ur close Frnd," but watever u shared should be true\""....""",,
normal text,Ok i've sent u da latest version of da project.,,,
normal text,Good Morning my Dear........... Have a great &amp; successful day.,,,
normal text,Pls accept me for one day. Or am begging you change the number.,,,
normal text,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:,,,
normal text,"Its ok, if anybody asks abt me, u tel them..:-P",,,
normal text,"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens",,,
normal text,* You gonna ring this weekend or wot?,,,
normal text,Also track down any lighters you can find,,,
normal text,"Sorry, I can't help you on this.",,,
normal text,"Babe, I need your advice",,,
normal text,Iï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,,,
normal text,Come to medical college at 7pm ......forward it da,,,
normal text,K:)k..its good:)when are you going?,,,
normal text,I can make lasagna for you... vodka...,,,
normal text,HI ITS KATE CAN U GIVE ME A RING ASAP XXX,,,
normal text,Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar,,,
normal text,"No, but you told me you were going, before you got drunk!",,,
normal text,He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him,,,
it may be a spam message,"Congratulations! Thanks to a good friend U have WON the ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½2,000 Xmas prize. 2 claim is easy, just call 08",,,
normal text,I'm always looking for an excuse to be in the city.,,,
normal text,Yup i'm still having coffee wif my frens... My fren drove she'll give me a lift...,,,
normal text,O shore are you takin the bus,,,
normal text,So u gonna get deus ex?,,,
normal text,I will send them to your email. Do you mind  &lt;#&gt;  times per night?,,,
it may be a spam message,"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.",,,
normal text,tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?,,,
normal text,Ok then i come n pick u at engin?,,,
normal text,Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.,,,
normal text,Raviyog Peripherals bhayandar east,,,
normal text,K actually can you guys meet me at the sunoco on howard? It should be right on the way,,,
it may be a spam message,You have 1 new voicemail. Please call 08719181513.,,,
normal text,"MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night",,,
normal text,Just finished eating. Got u a plate. NOT leftovers this time.,,,
normal text,Thanx a lot...,,,
normal text,Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.,,,
normal text,Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(,,,
normal text,Its a great day. Do have yourself a beautiful one.,,,
normal text,What happened in interview?,,,
normal text,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",,,
normal text,Badrith is only for chennai:)i will surely pick for us:)no competition for him.,,,
normal text,I tot it's my group mate... Lucky i havent reply... Wat time do ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,,,
normal text,Hey you around? I've got enough for a half + the ten I owe you,,,
normal text,Hey tmr maybe can meet you at yck,,,
normal text,ALRITE SAM ITS NIC JUST CHECKIN THAT THIS IS UR NUMBER-SO IS IT?T.B*,,,
normal text,They are just making it easy to pay back. I have  &lt;#&gt; yrs to say but i can pay back earlier. You get?,,,
normal text,Not to worry. I'm sure you'll get it.,,,
normal text,"The gas station is like a block away from my house, you'll drive right by it since armenia ends at swann and you have to take howard",,,
it may be a spam message,"Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p ",,,
it may be a spam message,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,,,
normal text,My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?,,,
normal text,"I'm not smoking while people use \wylie smokes too much\"" to justify ruining my shit""",,,
normal text,Dear good morning how you feeling dear,,,
normal text,A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die,,,
normal text,"Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:)",,,
normal text,Dunno lei ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½_ all decide lor. How abt leona? Oops i tot,,,
normal text,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.,,,
it may be a spam message,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app ,,,
it may be a spam message,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only,,,
normal text,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)",,,
normal text,Just do what ever is easier for you,,,
it may be a spam message,RCT' THNQ Adrian for U text. Rgds Vatian,,,
normal text,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday,,,
normal text,"It'll be tough, but I'll do what I have to",,,
normal text,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx,,,
normal text,Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet.,,,
normal text,HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX,,,
normal text,"Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!",,,
normal text,But i'm surprised she still can guess right lor...,,,
normal text,Okie ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½_ wan meet at bishan? Cos me at bishan n,,,
normal text,Oh ho. Is this the first time u use these type of words,,,
normal text,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN,,,
normal text,I know you are serving. I mean what are you doing now.,,,
normal text,"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it...",,,
normal text,Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out,,,
it may be a spam message,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",,,
normal text,I know girls always safe and selfish know i got it pa. Thank you. good night.,,,
normal text,"No worries, hope photo shoot went well. have a spiffing fun at workage. ",,,
normal text,I'm freezing and craving ice. Fml,,,
normal text,Kay... Since we are out already ,,,
normal text,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?,,,
normal text,Yo im right by yo work,,,
normal text,Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx,,,
normal text,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",,,
normal text,I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.,,,
normal text,Nope... Juz off from work...,,,
normal text,Huh so fast... Dat means u havent finished painting?,,,
normal text, what number do u live at? Is it 11?,,,
normal text,"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore",,,
normal text,Sac will score big hundred.he is set batsman:-),,,
normal text,Send me yetty's number pls.,,,
normal text,How much it will cost approx . Per month.,,,
normal text,Ok... The theory test? when are ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½_ going to book? I think it's on 21 may. Coz thought wanna go out with,,,
it may be a spam message,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P",,,
normal text,"That's fine, have him give me a call if he knows what he wants or has any questions",,,
normal text,"Sorry, got a late start, we're on the way",,,
normal text,Then u go back urself lor...,,,
normal text,I AM AT THE GAS STATION. GO THERE.,,,
normal text,"K, if u bored up just come to my home..",,,
normal text,Babe !!!! I LOVE YOU !!!! *covers your face in kisses*,,,
normal text,"Like I made him throw up when we were smoking in our friend's car one time, it was awesome",,,
normal text,Still i have not checked it da. . .,,,
normal text,You will go to walmart. I.ll stay.,,,
normal text,"I haven't forgotten you, i might have a couple bucks to send you tomorrow, k? I love ya too",,,
normal text,Oh great. I.ll disturb him more so that we can talk.,,,
normal text,Reverse is cheating. That is not mathematics.,,,
normal text,U're welcome... Caught u using broken english again...,,,
normal text,No problem baby. Is this is a good time to talk? I called and left a message.,,,
normal text,"Sorry, I'll call later",,,
normal text,Oh is it! Which brand?,,,
normal text,Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.,,,
normal text,At what time are you coming.,,,
normal text,Call him and say you not coming today ok and tell them not to fool me like this ok,,,
normal text,I emailed yifeng my part oredi.. Can ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,,,
normal text,R u sure they'll understand that! Wine * good idea just had a slurp!,,,
normal text,Minimum walk is 3miles a day.,,,
normal text,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema. ,,,
normal text,"Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla..",,,
normal text,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,,,
it may be a spam message,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,,,
normal text,Please attend the phone:),,,
normal text,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged,,,
normal text,No messages on her phone. I'm holding it now,,,
normal text,Can... I'm free...,,,
normal text,"Yo my trip got postponed, you still stocked up?",,,
normal text,"Sorry, I'll call later",,,
normal text,I am waiting for your call sir.,,,
normal text,Hey what are you doing. Y no reply pa..,,,
normal text,"Hey elaine, is today's meeting still on?",,,
normal text,Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.,,,
normal text,Most of the tiime when i don't let you hug me it's so i don't break into tears.,,,
normal text,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,,,
normal text,And now electricity just went out fml.,,,
normal text,"Looks like you found something to do other than smoke, great job!",,,
normal text,Also andros ice etc etc,,,
normal text,:) ,,,
normal text,"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea",,,
normal text,Yup. Wun believe wat? U really neva c e msg i sent shuhui?,,,
normal text,Hows that watch resizing,,,
normal text,Dear umma she called me now :-),,,
normal text,Just finished. Missing you plenty,,,
it may be a spam message,"complimentary 4 STAR Ibiza Holiday or ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½10,000 cash needs your URGENT collection. 09066364349 NOW ",,,
normal text,"Well, I meant as opposed to my drunken night of before",,,
normal text,K... Must book a not huh? so going for yoga basic on sunday?,,,
it may be a spam message,FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline,,,
normal text,Ok can...,,,
normal text,"Oops - am at my mum's in somerset... Bit far! Back tomo, see you soon x",,,
normal text,So u workin overtime nigpun?,,,
normal text,Same as kallis dismissial in 2nd test:-).,,,
normal text,O. Guess they both got screwd,,,
it may be a spam message,Please CALL 08712402972 immediately as there is an urgent message waiting for you,,,
normal text,"I'm in a meeting, call me later at",,,
normal text,What r u cooking me for dinner?,,,
normal text,Ok thanx...,,,
normal text,Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.,,,
normal text,Then i buy.,,,
it may be a spam message,URGENT! Your Mobile number has been awarded with a ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½2000 Bonus Caller Priz,,,
normal text,Heehee that was so funny tho,,,
normal text,It only does simple arithmetic not percentages.,,,
normal text,"Yeah we wouldn't leave for an hour at least, how's 4 sound?",,,
it may be a spam message,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½",,,
normal text,Thanks honey. Have a great day.,,,
normal text,"'An Amazing Quote'' - \Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear....\""""",,,
normal text,Good night my dear.. Sleepwell&amp;Take care,,,
normal text,Then ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½_ ask dad to pick ï¿½ï¿½ï¿½ï¿½ï¿½,,,
normal text,"Jus chillaxin, what up",,,
normal text,"\HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.\""""",,,
normal text,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOODMORNING""",,,
it may be a spam message,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,,,
normal text,"Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though! ",,,
normal text,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.,,,
normal text,Only once then after ill obey all yours.,,,
normal text,No she didnt. I will search online and let you know.,,,
normal text,Where do you need to go to get it?,,,
normal text,No pic. Please re-send.,,,
normal text,He remains a bro amongst bros,,,
normal text,Uhhhhrmm isnt having tb test bad when youre sick,,,
normal text,But i haf enuff space got like 4 mb...,,,
it may be a spam message,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms,,,
it may be a spam message,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW,,,
it may be a spam message,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½",,,
it may be a spam message,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M,,,
it may be a spam message,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly,,,
it may be a spam message,Had your mobile 10 mths? Update to latest Orange camera/video phones for FREE. Save ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s with Free texts/we,,,
it may be a spam message,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Callsï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,,,
normal text,True. Its easier with her here.,,,
normal text,Sure but since my parents will be working on Tuesday I don't really need a cover story,,,
normal text,Haha okay... Today weekend leh... ,,,
normal text,"\Hi darlin did youPhone me? Im atHome if youwanna chat.\""""",,,
normal text,I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga,,,
normal text,You've always been the brainy one.,,,
normal text,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe,,,
it may be a spam message,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,,,
normal text,"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...&amp; Traditions.... Have an ideal Christmas...",,,
normal text,Sending you greetings of joy and happiness. Do have a gr8 evening,,,
normal text,"\Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx\""""",,,
normal text,If india win or level series means this is record:),,,
normal text,Then what about further plan?,,,
normal text,Its good to hear from you,,,
normal text,"awesome, how do I deal with the gate? Charles told me last night but, uh, yeah",,,
normal text,What time you thinkin of goin?,,,
it may be a spam message,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only,,,
it may be a spam message,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend,,,
normal text,Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.,,,
normal text,Yes but I don't care cause I know its there!,,,
normal text,"wiskey Brandy Rum Gin Beer Vodka Scotch Snormal textpain Wine \KUDI\""yarasu dhina vaazhthukkal. ..""",,,
normal text,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer... ",,,
normal text,Sitting ard nothing to do lor. U leh busy w work?,,,
normal text,Its  &lt;#&gt; k here oh. Should i send home for sale.,,,
normal text,Sorry. || mail? || ,,,
normal text,Ya just telling abt tht incident..,,,
normal text,Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am,,,
normal text,Ugh just got outta class,,,
normal text,"Nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... Have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? It is very cnormal textplaxigating, i think it is atrocious.. Wotz Ur Opinion???? Junna",,,
normal text,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,,,
normal text,No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.,,,
normal text,Ok. I.ll do you right later.,,,
normal text,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,,,
normal text,Have your lunch and come quickly and open the door:),,,
it may be a spam message,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net,,,
normal text,I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love,,,
normal text,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...",,,
it may be a spam message,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,,,
normal text,i am seeking a lady in the street and a freak in the sheets. Is that you?,,,
normal text,My phone,,,
normal text,"Haha figures, well I found the piece and priscilla's bowl",,,
normal text,"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though",,,
it may be a spam message,URGENT! We are trying to contact U. Todays draw shows that you have won a ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½800 prize GUARANTEED. Call 09,,,
normal text,yay! finally lol. i missed our cinema trip last week :-(,,,
normal text,All day working day:)except saturday and sunday..,,,
normal text,aathi..where are you dear..,,,
normal text,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,,,
normal text,I think Iï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½m ,,,
normal text,You getting back any time soon?,,,
normal text,", how's things? Just a quick question.",,,
normal text,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",,,
normal text,"I can probably come by, everybody's done around  &lt;#&gt;  right?",,,
normal text,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.,,,
normal text,I can ask around but there's not a lot in terms of mids up here,,,
normal text,Be sure to check your yahoo email. We sent photos yesterday,,,
normal text,What was she looking for?,,,
normal text,Wherre's my boytoy ? :-(,,,
it may be a spam message,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,,,
normal text,"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*",,,
normal text,Tell my  bad character which u Dnt lik in me. I'll try to change in  &lt;#&gt; . I ll add tat 2 my new year resolution. Waiting for ur reply.Be frank...good morning.,,,
normal text,No:-)i got rumour that you going to buy apartment in chennai:-),,,
normal text,"Yeah, probably earlier than that",,,
normal text,Change windows logoff sound..,,,
normal text,Still i have not checked it da. . .,,,
normal text,I'm also came to room.,,,
normal text,Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...  ,,,
normal text,Ok.,,,
normal text,I will reach office around  &lt;DECIMAL&gt; . &amp; my mobile have problem. You cann't get my voice. So call you asa i'll free,,,
normal text,"Cool, text me when you head out",,,
it may be a spam message,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P",,,
